lon,lat,ele,time,extensions,event,date,hrminsec
-79.54493039287627,8.938729846850038,46.79999923706055,2016-01-31T12:48:10.000Z,98,Bike,2016-01-31,2016-01-31T12:48:10Z
-79.54494204372168,8.938823388889432,47,2016-01-31T12:48:11.000Z,96,Bike,2016-01-31,2016-01-31T12:48:11Z
-79.54495520330966,8.938919110223651,46.79999923706055,2016-01-31T12:48:12.000Z,98,Bike,2016-01-31,2016-01-31T12:48:12Z
-79.54497389495373,8.939017178490758,46.79999923706055,2016-01-31T12:48:13.000Z,99,Bike,2016-01-31,2016-01-31T12:48:13Z
-79.54500004649162,8.939111810177565,46.79999923706055,2016-01-31T12:48:14.000Z,99,Bike,2016-01-31,2016-01-31T12:48:14Z
-79.5450343284756,8.939204011112452,46.599998474121094,2016-01-31T12:48:15.000Z,99,Bike,2016-01-31,2016-01-31T12:48:15Z
-79.5450734719634,8.93929529003799,46.79999923706055,2016-01-31T12:48:16.000Z,100,Bike,2016-01-31,2016-01-31T12:48:16Z
-79.54511756077409,8.939385311678052,47.20000076293945,2016-01-31T12:48:17.000Z,98,Bike,2016-01-31,2016-01-31T12:48:17Z
-79.54516550526023,8.93946971744299,47.599998474121094,2016-01-31T12:48:18.000Z,95,Bike,2016-01-31,2016-01-31T12:48:18Z
-79.54521504230797,8.939549261704087,48,2016-01-31T12:48:19.000Z,95,Bike,2016-01-31,2016-01-31T12:48:19Z
-79.54526642337441,8.939627967774868,48,2016-01-31T12:48:20.000Z,94,Bike,2016-01-31,2016-01-31T12:48:20Z
-79.54532065428793,8.939700471237302,48.20000076293945,2016-01-31T12:48:21.000Z,94,Bike,2016-01-31,2016-01-31T12:48:21Z
-79.54537882469594,8.939774399623275,48.20000076293945,2016-01-31T12:48:22.000Z,94,Bike,2016-01-31,2016-01-31T12:48:22Z
-79.54543942585588,8.939842628315091,48.20000076293945,2016-01-31T12:48:23.000Z,94,Bike,2016-01-31,2016-01-31T12:48:23Z
-79.54550304450095,8.939908593893051,48.400001525878906,2016-01-31T12:48:24.000Z,92,Bike,2016-01-31,2016-01-31T12:48:24Z
-79.545569261536,8.939973218366504,48.400001525878906,2016-01-31T12:48:25.000Z,94,Bike,2016-01-31,2016-01-31T12:48:25Z
-79.5456350594759,8.94003457389772,48.599998474121094,2016-01-31T12:48:26.000Z,93,Bike,2016-01-31,2016-01-31T12:48:26Z
-79.5457008574158,8.94009517505765,48.79999923706055,2016-01-31T12:48:27.000Z,92,Bike,2016-01-31,2016-01-31T12:48:27Z
-79.5457677450031,8.940154099836946,48.599998474121094,2016-01-31T12:48:28.000Z,94,Bike,2016-01-31,2016-01-31T12:48:28Z
-79.54584167338908,8.94020707346499,48.20000076293945,2016-01-31T12:48:29.000Z,93,Bike,2016-01-31,2016-01-31T12:48:29Z
-79.54591702669859,8.940258789807558,48.20000076293945,2016-01-31T12:48:30.000Z,94,Bike,2016-01-31,2016-01-31T12:48:30Z
-79.54599631950259,8.94030966795981,48.20000076293945,2016-01-31T12:48:31.000Z,93,Bike,2016-01-31,2016-01-31T12:48:31Z
-79.54607686959207,8.940360378473997,48.20000076293945,2016-01-31T12:48:32.000Z,95,Bike,2016-01-31,2016-01-31T12:48:32Z
-79.54616010189056,8.940411591902375,48.20000076293945,2016-01-31T12:48:33.000Z,95,Bike,2016-01-31,2016-01-31T12:48:33Z
-79.54624283127487,8.940462972968817,48.20000076293945,2016-01-31T12:48:34.000Z,93,Bike,2016-01-31,2016-01-31T12:48:34Z
-79.54632354900241,8.940507983788848,48.400001525878906,2016-01-31T12:48:35.000Z,94,Bike,2016-01-31,2016-01-31T12:48:35Z
-79.54640611074865,8.940551150590181,48.599998474121094,2016-01-31T12:48:36.000Z,93,Bike,2016-01-31,2016-01-31T12:48:36Z
-79.54648624174297,8.940583085641265,48.599998474121094,2016-01-31T12:48:37.000Z,93,Bike,2016-01-31,2016-01-31T12:48:37Z
-79.54656695947051,8.940615523606539,48.79999923706055,2016-01-31T12:48:38.000Z,90,Bike,2016-01-31,2016-01-31T12:48:38Z
-79.546650191769,8.940649637952447,49.20000076293945,2016-01-31T12:48:39.000Z,91,Bike,2016-01-31,2016-01-31T12:48:39Z
-79.54673803411424,8.940683333203197,49,2016-01-31T12:48:40.000Z,91,Bike,2016-01-31,2016-01-31T12:48:40Z
-79.54682587645948,8.940710071474314,49.20000076293945,2016-01-31T12:48:41.000Z,93,Bike,2016-01-31,2016-01-31T12:48:41Z
-79.5469181612134,8.94073094241321,49.599998474121094,2016-01-31T12:48:42.000Z,92,Bike,2016-01-31,2016-01-31T12:48:42Z
-79.54700835049152,8.940749550238252,49.599998474121094,2016-01-31T12:48:43.000Z,93,Bike,2016-01-31,2016-01-31T12:48:43Z
-79.54710138961673,8.940765978768468,49.400001525878906,2016-01-31T12:48:44.000Z,92,Bike,2016-01-31,2016-01-31T12:48:44Z
-79.54719141125679,8.940781150013208,49.400001525878906,2016-01-31T12:48:45.000Z,92,Bike,2016-01-31,2016-01-31T12:48:45Z
-79.54728486947715,8.940793303772807,49.400001525878906,2016-01-31T12:48:46.000Z,94,Bike,2016-01-31,2016-01-31T12:48:46Z
-79.5473793335259,8.940801853314042,49.599998474121094,2016-01-31T12:48:47.000Z,96,Bike,2016-01-31,2016-01-31T12:48:47Z
-79.54747522249818,8.940808894112706,49.599998474121094,2016-01-31T12:48:48.000Z,96,Bike,2016-01-31,2016-01-31T12:48:48Z
-79.54757111147046,8.940814258530736,49.599998474121094,2016-01-31T12:48:49.000Z,95,Bike,2016-01-31,2016-01-31T12:48:49Z
-79.54766507260501,8.94081694073975,50,2016-01-31T12:48:50.000Z,95,Bike,2016-01-31,2016-01-31T12:48:50Z
-79.54775802791119,8.940815851092339,50,2016-01-31T12:48:51.000Z,92,Bike,2016-01-31,2016-01-31T12:48:51Z
-79.54785039648414,8.940812163054943,50,2016-01-31T12:48:52.000Z,93,Bike,2016-01-31,2016-01-31T12:48:52Z
-79.54793932847679,8.940806379541755,50.20000076293945,2016-01-31T12:48:53.000Z,92,Bike,2016-01-31,2016-01-31T12:48:53Z
