lon,lat,ele,time,extensions,event,date,hrminsec
-79.53167240135372,8.91585043631494,42,2016-01-31T15:10:02.000Z,85,Run,2016-01-31,2016-01-31T15:10:02Z
-79.53151532448828,8.915736442431808,42.20000076293945,2016-01-31T15:10:07.000Z,85,Run,2016-01-31,2016-01-31T15:10:07Z
-79.5313538890332,8.915620604529977,42.20000076293945,2016-01-31T15:10:12.000Z,85,Run,2016-01-31,2016-01-31T15:10:12Z
-79.53119949437678,8.915503844618797,42.400001525878906,2016-01-31T15:10:17.000Z,84,Run,2016-01-31,2016-01-31T15:10:17Z
-79.53104912303388,8.915397142991424,41.79999923706055,2016-01-31T15:10:22.000Z,84,Run,2016-01-31,2016-01-31T15:10:22Z
-79.53085080720484,8.91529337503016,42.20000076293945,2016-01-31T15:10:28.000Z,84,Run,2016-01-31,2016-01-31T15:10:28Z
-79.53067973256111,8.915207209065557,41.599998474121094,2016-01-31T15:10:33.000Z,85,Run,2016-01-31,2016-01-31T15:10:33Z
-79.53051041811705,8.915136298164725,41.79999923706055,2016-01-31T15:10:38.000Z,86,Run,2016-01-31,2016-01-31T15:10:38Z
-79.53033540397882,8.91507251188159,41.599998474121094,2016-01-31T15:10:43.000Z,84,Run,2016-01-31,2016-01-31T15:10:43Z
-79.53014169819653,8.91501241363585,41.400001525878906,2016-01-31T15:10:49.000Z,86,Run,2016-01-31,2016-01-31T15:10:49Z
-79.52993080951273,8.914997493848205,41.599998474121094,2016-01-31T15:10:55.000Z,84,Run,2016-01-31,2016-01-31T15:10:55Z
-79.52983299270272,8.915002690628171,41.20000076293945,2016-01-31T15:10:58.000Z,84,Run,2016-01-31,2016-01-31T15:10:58Z
-79.52964808791876,8.9149968232959509,41.79999923706055,2016-01-31T15:11:03.000Z,85,Run,2016-01-31,2016-01-31T15:11:03Z
-79.52945823781192,8.914975365623832,42.20000076293945,2016-01-31T15:11:08.000Z,85,Run,2016-01-31,2016-01-31T15:11:08Z
-79.5292507018894,8.914985256269574,41.79999923706055,2016-01-31T15:11:14.000Z,85,Run,2016-01-31,2016-01-31T15:11:14Z
-79.52905272133648,8.91497134231031,41.79999923706055,2016-01-31T15:11:19.000Z,84,Run,2016-01-31,2016-01-31T15:11:19Z
-79.52885432168841,8.914961032569408,41.79999923706055,2016-01-31T15:11:24.000Z,85,Run,2016-01-31,2016-01-31T15:11:24Z
-79.52866455540061,8.914950639009476,41.400001525878906,2016-01-31T15:11:29.000Z,84,Run,2016-01-31,2016-01-31T15:11:29Z
-79.52845777384937,8.914978550747037,41.599998474121094,2016-01-31T15:11:35.000Z,84,Run,2016-01-31,2016-01-31T15:11:35Z
-79.52825057320297,8.914978466928005,41.599998474121094,2016-01-31T15:11:41.000Z,84,Run,2016-01-31,2016-01-31T15:11:41Z
-79.52806784771383,8.914907136932015,41.79999923706055,2016-01-31T15:11:46.000Z,84,Run,2016-01-31,2016-01-31T15:11:46Z
-79.52786768786609,8.914934461936355,41.599998474121094,2016-01-31T15:11:52.000Z,84,Run,2016-01-31,2016-01-31T15:11:52Z
-79.52767540700734,8.915013084188104,41.20000076293945,2016-01-31T15:11:58.000Z,84,Run,2016-01-31,2016-01-31T15:11:58Z
-79.52749041840434,8.915049796923995,41.599998474121094,2016-01-31T15:12:04.000Z,85,Run,2016-01-31,2016-01-31T15:12:04Z
-79.52729595825076,8.915067734196782,41.599998474121094,2016-01-31T15:12:09.000Z,84,Run,2016-01-31,2016-01-31T15:12:09Z
-79.52711348421872,8.91509111970663,41.599998474121094,2016-01-31T15:12:14.000Z,84,Run,2016-01-31,2016-01-31T15:12:14Z
-79.52692522667348,8.915088688954711,41.599998474121094,2016-01-31T15:12:19.000Z,84,Run,2016-01-31,2016-01-31T15:12:19Z
-79.52673797495663,8.91506614163518,41.400001525878906,2016-01-31T15:12:24.000Z,84,Run,2016-01-31,2016-01-31T15:12:24Z
-79.52653421089053,8.915015095844865,41.400001525878906,2016-01-31T15:12:30.000Z,84,Run,2016-01-31,2016-01-31T15:12:30Z
-79.52636397443712,8.914938317611814,41.599998474121094,2016-01-31T15:12:35.000Z,84,Run,2016-01-31,2016-01-31T15:12:35Z
-79.52618267387152,8.914819126948714,41.599998474121094,2016-01-31T15:12:41.000Z,84,Run,2016-01-31,2016-01-31T15:12:41Z
-79.52603825367987,8.914672527462244,41.599998474121094,2016-01-31T15:12:47.000Z,84,Run,2016-01-31,2016-01-31T15:12:47Z
-79.52592199668288,8.914505392313004,42,2016-01-31T15:12:53.000Z,84,Run,2016-01-31,2016-01-31T15:12:53Z
-79.52587681822479,8.914416879415512,42.20000076293945,2016-01-31T15:12:56.000Z,84,Run,2016-01-31,2016-01-31T15:12:56Z
-79.52579165808856,8.914222838357091,42.400001525878906,2016-01-31T15:13:02.000Z,84,Run,2016-01-31,2016-01-31T15:13:02Z
-79.5257296320051,8.91401949338615,42.400001525878906,2016-01-31T15:13:08.000Z,84,Run,2016-01-31,2016-01-31T15:13:08Z
-79.52565394341946,8.91382411122322,42.599998474121094,2016-01-31T15:13:14.000Z,84,Run,2016-01-31,2016-01-31T15:13:14Z
-79.52560474164784,8.913641050457954,42.400001525878906,2016-01-31T15:13:19.000Z,84,Run,2016-01-31,2016-01-31T15:13:19Z
-79.52553198672831,8.91347425058484,42.20000076293945,2016-01-31T15:13:24.000Z,84,Run,2016-01-31,2016-01-31T15:13:24Z
-79.52544506639242,8.913293536752462,42.20000076293945,2016-01-31T15:13:30.000Z,86,Run,2016-01-31,2016-01-31T15:13:30Z
